_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,lastLogin,data.tangramURLs,data.role,data.clicked
qv6XZrZihy8PGifpb,apple,"{""playerIdKey"":""apple""}",,,,,,2024-02-02T22:58:59Z,gameFull,,,,2024-02-02T22:52:42Z,"{""at"":""2024-08-08T17:53:11.317Z""}",,,
TR8YSRnSFowWSyBFi,applef,"{""playerIdKey"":""applef""}",,2024-02-02T22:53:38Z,,,,2024-02-02T22:58:59Z,gameFull,,,,2024-02-02T22:52:48Z,"{""at"":""2024-02-21T22:32:17.571Z""}",,,
FwhRDhX6WEJrAKRfn,applefg,"{""playerIdKey"":""applefg""}",,,,,,2024-02-02T22:58:59Z,gameFull,,,,2024-02-02T22:53:44Z,"{""at"":""2024-02-02T22:58:55.736Z""}",,,
MsJvivpZhzp3amM5n,applefgf,"{""playerIdKey"":""applefgf""}",,,,,,2024-02-02T22:59:25Z,gameFull,,,,2024-02-02T22:59:05Z,"{""at"":""2024-02-02T22:59:06.034Z""}",,,
LqHGM4eYu7vJQjDMS,pear,"{""playerIdKey"":""pear""}",,2024-02-21T20:21:59Z,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:10:23Z,"{""at"":""2024-08-08T16:56:05.602Z""}",,,
hsF9aKx3PpGRHzPHv,pearh,"{""playerIdKey"":""pearh""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:22:04Z,"{""at"":""2024-02-21T20:22:04.852Z""}",,,
hSXvd8brq5JXj2ybs,applej,"{""playerIdKey"":""applej""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:24:13Z,"{""at"":""2024-02-21T20:24:13.090Z""}",,,
GXx5wZfcbWvNNZv8k,pearf,"{""playerIdKey"":""pearf""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:28:36Z,"{""at"":""2024-02-21T20:28:36.991Z""}",,,
EqDWErByiDmxsoxtf,foo,"{""playerIdKey"":""foo""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:29:22Z,"{""at"":""2024-02-21T20:32:03.648Z""}",,,
riYYuv7swNux3ZLjx,appleg,"{""playerIdKey"":""appleg""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:30:52Z,"{""at"":""2024-02-21T22:32:12.013Z""}",,,
xYNM57qSsiSkEKacv,foog,"{""playerIdKey"":""foog""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:32:07Z,"{""at"":""2024-02-21T22:29:33.705Z""}",,,
dSZcusrtZnKNNb7v2,test0hhhhgg,"{""playerIdKey"":""test0hhhhgg""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:47:04Z,"{""at"":""2024-02-21T20:47:04.161Z""}",,,
goKDfPp9yRAuYkzHo,test0hhhhggh,"{""playerIdKey"":""test0hhhhggh""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:47:07Z,"{""at"":""2024-05-20T20:48:26.185Z""}",,,
gNSS3QhDtPW7Qs9gM,Dfff,{},,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T20:47:52Z,"{""at"":""2024-02-21T20:47:52.790Z""}",,,
D5e8ssoRWeMTmKSZi,pearg,"{""playerIdKey"":""pearg""}",,,,,,2024-02-21T22:33:25Z,gameFull,,,,2024-02-21T22:29:53Z,"{""at"":""2024-02-21T22:29:53.486Z""}",,,
6qiSqLfNv2fMQbcRP,peard,"{""playerIdKey"":""peard""}",,2024-02-21T22:33:23Z,,,,2024-02-21T22:36:18Z,finished,,,,2024-02-21T22:31:14Z,"{""at"":""2024-02-22T01:06:44.569Z""}","/experiment/D1.jpg,/experiment/B1.jpg",speaker,false
RfHTRDn545WrsDyJA,applefghg,"{""playerIdKey"":""applefghg""}",,2024-02-21T22:33:25Z,,,,2024-02-21T22:36:18Z,finished,,,,2024-02-21T22:32:21Z,"{""at"":""2024-02-22T01:06:21.702Z""}","/experiment/D1.jpg,/experiment/B1.jpg",listener,/experiment/B1.jpg
E2s2HwPKNuBxRAsTC,rfhug,"{""playerIdKey"":""rfhug""}",,,,,,2024-02-22T01:08:28Z,gameFull,,,,2024-02-22T01:05:51Z,"{""at"":""2024-02-22T01:05:51.883Z""}",,,
DxqFxYuC3d9ZDPm7G,applehg,"{""playerIdKey"":""applehg""}",,2024-02-22T01:08:29Z,,,,2024-02-22T01:10:54Z,finished,,,,2024-02-22T01:06:29Z,"{""at"":""2024-02-22T01:06:29.280Z""}","/experiment/I1.jpg,/experiment/D1.jpg",speaker,false
emmB74j6Y4qj9dL9G,peardgykjgyu,"{""playerIdKey"":""peardgykjgyu""}",,2024-02-22T01:08:28Z,,,,2024-02-22T01:10:54Z,finished,,,,2024-02-22T01:07:20Z,"{""at"":""2024-02-22T01:07:21.046Z""}","/experiment/I1.jpg,/experiment/D1.jpg",listener,/experiment/I1.jpg
9YiJBEKFhKCed8kCL,123,"{""playerIdKey"":""123""}",,,,,,2024-02-29T01:11:02Z,gameFull,,,,2024-02-22T01:19:11Z,"{""at"":""2024-04-12T21:13:11.787Z""}",,,
YtkBiYQSjXre38PNA,lpp,"{""playerIdKey"":""lpp""}",,,,,,2024-02-29T01:11:02Z,gameFull,,,,2024-02-22T01:19:25Z,"{""at"":""2024-02-22T01:19:25.730Z""}",,,
XDJLpHxaRJfPqiBHa,hh,"{""playerIdKey"":""hh""}",,,,,,2024-02-29T01:11:02Z,gameFull,,,,2024-02-29T01:09:06Z,"{""at"":""2024-02-29T01:09:06.843Z""}",,,
fY5S4DkjNigJhis7k,gg,"{""playerIdKey"":""gg""}",,,,,,2024-02-29T01:11:02Z,gameFull,,,,2024-02-29T01:09:07Z,"{""at"":""2024-02-29T01:11:12.006Z""}",,,
o48qzdxbRXsTJN2Jt,kk,"{""playerIdKey"":""kk""}",,,,,,2024-02-29T01:14:57Z,gameFull,,,,2024-02-29T01:11:25Z,"{""at"":""2024-02-29T01:11:25.533Z""}",,,
xixm2pjCDDu6Q4c5C,jj,"{""playerIdKey"":""jj""}",,,,,,2024-02-29T01:14:57Z,gameFull,,,,2024-02-29T01:11:25Z,"{""at"":""2024-02-29T01:11:25.539Z""}",,,
c4x6PkknAhdX8KNte,p,"{""playerIdKey"":""p""}",,2024-02-29T01:27:52Z,,,,2024-02-29T01:33:28Z,finished,,,,2024-02-29T01:16:25Z,"{""at"":""2024-02-29T01:16:35.154Z""}","/experiment/I1.jpg,/experiment/E1.jpg",speaker,false
xFnS5hkJjy9Rejcd6,ap,"{""playerIdKey"":""ap""}",,,,,,2024-02-29T01:27:52Z,gameFull,,,,2024-02-29T01:23:51Z,"{""at"":""2024-02-29T01:23:52.035Z""}",,,
LJLa9jLkZ9Ji4fxY4,appl,"{""playerIdKey"":""appl""}",,2024-02-29T01:27:51Z,,,,2024-02-29T01:33:28Z,finished,,,,2024-02-29T01:25:15Z,"{""at"":""2024-02-29T01:25:15.594Z""}","/experiment/I1.jpg,/experiment/E1.jpg",listener,/experiment/I1.jpg
D7zNExRsbmDuQE8BA,p123,"{""playerIdKey"":""p123""}",,2024-02-29T01:39:42Z,,,,2024-02-29T01:44:19Z,finished,,,,2024-02-29T01:36:28Z,"{""at"":""2024-02-29T01:36:28.586Z""}","/experiment/I1.jpg,/experiment/B1.jpg",listener,/experiment/I1.jpg
NkEfxFsufTY4zwL6Q,appl123,"{""playerIdKey"":""appl123""}",,2024-02-29T01:39:43Z,,,,2024-02-29T01:44:19Z,finished,,,,2024-02-29T01:36:35Z,"{""at"":""2024-03-08T21:22:54.874Z""}","/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
ecwgPWwDLrYhMKyMF,59,"{""playerIdKey"":""59""}",,2024-03-08T21:36:16Z,,,,2024-03-08T21:43:31Z,finished,,,,2024-03-08T21:23:51Z,"{""at"":""2024-03-08T22:12:26.733Z""}","/experiment/E1.jpg,/experiment/I1.jpg",listener,/experiment/E1.jpg
PYxun88yozSroCR6v,60,"{""playerIdKey"":""60""}",,2024-03-08T21:35:21Z,,,,2024-03-08T21:43:31Z,finished,,,,2024-03-08T21:24:02Z,"{""at"":""2024-03-08T21:24:02.094Z""}","/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
jj8Ff4tfRP7PfsuyA,apple62,"{""playerIdKey"":""apple62""}",,2024-03-08T22:16:12Z,,,,2024-03-08T22:29:15Z,finished,,,,2024-03-08T22:12:57Z,"{""at"":""2024-03-08T22:12:57.565Z""}","/experiment/I1.jpg,/experiment/D1.jpg",speaker,false
ToHiQRtwQreEmwwT4,pear63,"{""playerIdKey"":""pear63""}",,2024-03-08T22:16:06Z,,,,2024-03-08T22:29:15Z,finished,,,,2024-03-08T22:13:07Z,"{""at"":""2024-03-08T22:13:07.153Z""}","/experiment/D1.jpg,/experiment/I1.jpg",listener,/experiment/I1.jpg
X9xNaQFxKbC2e9fbv,63,"{""playerIdKey"":""63""}",,2024-03-13T21:01:04Z,,,,2024-03-13T21:19:21Z,finished,,,,2024-03-13T20:46:03Z,"{""at"":""2024-03-13T20:46:03.522Z""}","/experiment/I1.jpg,/experiment/D1.jpg",speaker,false
uC2Hn364eCJkQANoc,64,"{""playerIdKey"":""64""}",,2024-03-13T21:00:39Z,,,,2024-03-13T21:19:21Z,finished,,,,2024-03-13T20:46:26Z,"{""at"":""2024-03-13T21:12:14.473Z""}","/experiment/I1.jpg,/experiment/D1.jpg",listener,/experiment/D1.jpg
aQpCL4wLMst42aFWC,65,"{""playerIdKey"":""65""}",,,,,,2024-03-13T21:44:51Z,cancelled,adminCancelled,,,2024-03-13T21:40:45Z,"{""at"":""2024-03-13T21:48:26.157Z""}",,,
SesyhjC4zCmFkxeT5,66,"{""playerIdKey"":""66""}",,2024-03-13T22:28:29Z,,,,2024-03-13T22:41:54Z,cancelled,adminCancelled,,,2024-03-13T21:48:02Z,"{""at"":""2024-03-13T22:27:51.573Z""}","/experiment/B1.jpg,/experiment/D1.jpg",speaker,false
RHrZooFDyYmHZFHCe,67,"{""playerIdKey"":""67""}",,2024-03-13T22:28:29Z,,,,2024-03-13T22:36:25Z,finished,,,,2024-03-13T21:49:05Z,"{""at"":""2024-03-13T21:50:35.043Z""}","/experiment/D1.jpg,/experiment/B1.jpg",listener,/experiment/D1.jpg
pdfTtRqfujmGqN2sP,6h,"{""playerIdKey"":""6h""}",,,,,,2024-03-13T22:28:29Z,gameFull,,,,2024-03-13T22:25:18Z,"{""at"":""2024-03-13T22:25:18.509Z""}",,,
nMoNuRunQZACX5zjh,id68,"{""playerIdKey"":""id68""}",,,,,,2024-04-10T21:02:36Z,gameFull,,,,2024-04-10T20:40:47Z,"{""at"":""2024-04-10T20:40:47.709Z""}",,,
kD6QnLnxmM5Y4SqXb,id69,"{""playerIdKey"":""id69""}",,,,,,2024-04-10T21:02:36Z,gameFull,,,,2024-04-10T20:41:03Z,"{""at"":""2024-04-10T20:57:30.589Z""}",,,
