gameId,target,distractor,trial,targetNum,repNum,response,correct,listener,speaker,game,exclude,exclusion_reason,words,all_words,type,expt,speaker_gender,speaker_age,listener_gender,listener_age,time.sec
9uKTejKqe3TNXkfAW,swim,hold,10,2,2,swim,1,id31,id32,game50,NA,NA,3,5,block 3,1,female,53,female,65,11.191
9uKTejKqe3TNXkfAW,walk,swim,11,3,2,walk,1,id32,id31,game50,NA,NA,3,3,block 3,1,female,65,female,53,5.592
SowubDEr7fQNBP6te,hold,swim,0,0,0,hold,1,id34,id33,game51,NA,NA,1,1,block 1,1,male,50,female,51,17.139
SowubDEr7fQNBP6te,swim,hold,1,1,0,swim,1,id33,id34,game51,NA,NA,10,10,block 1,1,female,51,male,50,37.207
SowubDEr7fQNBP6te,jump,hold,2,2,0,jump,1,id34,id33,game51,NA,NA,4,6,block 1,1,male,50,female,51,10.015
SowubDEr7fQNBP6te,walk,jump,3,3,0,walk,1,id33,id34,game51,NA,NA,4,4,block 1,1,female,51,male,50,10.758
SowubDEr7fQNBP6te,jump,walk,4,0,1,jump,1,id34,id33,game51,NA,NA,3,4,block 2,1,male,50,female,51,17.116
SowubDEr7fQNBP6te,swim,hold,5,1,1,swim,1,id33,id34,game51,NA,NA,9,9,block 2,1,female,51,male,50,20.77
SowubDEr7fQNBP6te,walk,swim,6,2,1,walk,1,id34,id33,game51,NA,NA,4,5,block 2,1,male,50,female,51,7.113
SowubDEr7fQNBP6te,hold,walk,7,3,1,hold,1,id33,id34,game51,NA,NA,5,5,block 2,1,female,51,male,50,16.617
SowubDEr7fQNBP6te,walk,hold,8,0,2,walk,1,id34,id33,game51,NA,NA,2,2,block 3,1,male,50,female,51,6.313
SowubDEr7fQNBP6te,swim,hold,9,1,2,swim,1,id33,id34,game51,NA,NA,6,7,block 3,1,female,51,male,50,16.432
SowubDEr7fQNBP6te,jump,hold,10,2,2,jump,1,id34,id33,game51,NA,NA,5,6,block 3,1,male,50,female,51,6.783
SowubDEr7fQNBP6te,hold,swim,11,3,2,hold,1,id33,id34,game51,NA,NA,5,5,block 3,1,female,51,male,50,10.922
D5CPASpy5Aj3aZNtS,swim,jump,0,0,0,jump,0,id36,id35,game52,NA,NA,5,5,block 1,1,female,56,male,50,16.318
D5CPASpy5Aj3aZNtS,hold,walk,1,1,0,walk,0,id35,id36,game52,NA,NA,2,5,block 1,1,male,50,female,56,16.475
D5CPASpy5Aj3aZNtS,walk,hold,2,2,0,walk,1,id36,id35,game52,NA,NA,3,3,block 1,1,female,56,male,50,12.676
D5CPASpy5Aj3aZNtS,jump,hold,3,3,0,hold,0,id35,id36,game52,NA,NA,4,5,block 1,1,male,50,female,56,54.426
D5CPASpy5Aj3aZNtS,jump,walk,4,0,1,jump,1,id36,id35,game52,NA,NA,3,3,block 2,1,female,56,male,50,12.071
